***** PARAMETERS PRP *****

Number of Customers = 10
Number of Products = 5
Number of Vehicles = 2
Number of Periods = 6

B = Production capacity
	8164

b_p = Time required to produce item p
 	1	1	1	1	1

c_p = Production cost of item p
 	80	80	80	80	80

s_p = Setup cost of item p
 	800	800	800	800	800

M = Big number
	16327

U_pi = Maximum inventory upper bound of item p at site i
 	16327	226	93	118	121	288	160	227	270	130	144
	16327	150	108	181	294	154	254	265	95	303	128
	16327	166	201	266	162	77	88	141	107	105	185
	16327	70	208	195	275	210	193	116	121	242	162
	16327	292	113	164	106	253	127	229	308	288	368

I_pi0 = Initial inventory of item p at site i
 	0	69	22	102	95	132	77	163	239	52	80
	0	141	77	156	201	63	84	139	12	269	67
	0	111	144	245	146	0	54	132	83	63	151
	0	52	124	179	214	207	110	85	37	124	111
	0	98	95	66	104	207	28	126	113	221	152

h_pi = Inventory cost of item p at site i
 	8	2	5	9	4	7	2	5	2	9	9
	8	7	4	4	7	2	9	4	6	1	5
	8	9	1	9	1	5	5	7	5	8	1
	8	8	5	3	2	6	8	4	3	1	1
	8	8	3	9	2	2	4	6	5	3	6

C = Vehicle capacity
	1840

f = Fixed transportation cost
	44825

a_ik = Transportation cost for traveling from node i to node k
 	0	2040	610	1915	1350	1495	3510	610	2555	3205	575
	2040	0	1615	1785	1985	765	2240	2260	615	1200	1480
	610	1615	0	2035	870	1270	3415	650	2190	2815	485
	1915	1785	2035	0	2865	1125	1770	2485	1820	2380	1560
	1350	1985	870	2865	0	1940	4075	925	2595	3125	1345
	1495	765	1270	1125	1940	0	2155	1885	1110	1770	935
	3510	2240	3415	1770	4075	2155	0	3995	1760	1810	3015
	610	2260	650	2485	925	1885	3995	0	2840	3460	985
	2555	615	2190	1820	2595	1110	1760	2840	0	665	1985
	3205	1200	2815	2380	3125	1770	1810	3460	665	0	2635
	575	1480	485	1560	1345	935	3015	985	1985	2635	0

coordXY = Coordinates (x,y): line zero => x line one => y column => customers
 	342	106	225	461	80	251	359	262	109	27	291
	177	509	209	540	113	461	878	85	631	735	279

d_pit = Demand of item p at customer i in period t
 	47	22	27	75	63	37
	22	54	21	28	78	77
	75	27	56	16	26	36
	44	51	66	87	39	76
	43	89	93	24	59	37
	48	29	96	88	48	11
	57	80	26	13	96	69
	73	67	99	79	31	56
	52	67	61	25	33	21
	20	60	79	53	37	38

	19	33	89	43	62	53
	53	24	72	46	61	69
	73	83	32	86	51	36
	34	80	87	59	69	24
	63	87	93	80	64	74
	84	86	50	78	26	57
	56	83	69	24	81	84
	12	35	11	64	77	86
	96	82	91	42	60	83
	67	75	13	86	62	80

	23	53	35	48	95	77
	13	14	32	85	81	16
	90	91	11	53	68	86
	56	90	49	40	18	70
	81	28	18	13	47	43
	42	12	69	93	27	22
	40	92	26	61	41	22
	83	44	88	20	52	33
	63	73	65	17	77	21
	55	66	30	63	50	13

	19	33	37	57	27	37
	26	31	17	50	98	28
	54	74	51	63	23	27
	67	100	47	20	94	85
	67	23	71	46	69	39
	35	75	40	23	73	44
	55	30	77	26	13	30
	37	98	86	95	36	11
	70	15	39	76	91	72
	59	52	16	78	60	58

	98	90	98	59	81	12
	95	70	43	16	26	90
	45	21	63	52	58	88
	12	92	18	99	32	66
	94	79	34	23	74	76
	28	23	35	76	70	21
	52	15	59	61	15	73
	77	36	79	64	33	80
	57	69	95	80	32	12
	79	73	65	75	50	99

