***** PARAMETERS PRP *****

Number of Customers = 20
Number of Products = 8
Number of Vehicles = 5
Number of Periods = 12

B = Production capacity
	26517

b_p = Time required to produce item p
 	1	1	1	1	1	1	1	1

c_p = Production cost of item p
 	80	80	30	80	80	30	30	80

s_p = Setup cost of item p
 	800	800	300	800	800	300	300	800

M = Big number
	106067

U_pi = Maximum inventory upper bound of item p at site i
 	106067	118	221	176	327	177	145	93	178	261	110	122	173	127	294	164	268	120	122	121	269
	106067	284	274	186	107	134	226	264	240	104	188	229	104	124	310	165	173	118	177	249	245
	106067	340	228	152	243	99	261	174	122	201	166	96	253	259	181	243	90	175	168	97	177
	106067	112	247	115	142	111	275	176	130	310	192	156	218	116	124	291	252	216	169	217	178
	106067	305	288	260	249	285	166	205	87	253	99	252	255	167	127	198	112	201	132	249	112
	106067	303	113	231	180	104	83	210	107	287	186	159	116	274	110	82	206	112	200	109	232
	106067	187	103	225	242	245	157	171	195	69	184	194	253	107	269	162	105	238	158	224	164
	106067	301	292	188	293	295	250	197	109	94	249	138	283	143	322	378	176	313	187	119	164

I_pi0 = Initial inventory of item p at site i
 	0	50	97	116	197	135	136	30	136	183	49	21	83	96	233	75	255	66	40	95	88
	0	250	149	71	63	64	132	176	80	72	27	223	95	59	231	91	115	35	175	218	24
	0	146	35	87	240	81	106	128	82	112	115	87	180	35	138	115	67	144	149	76	158
	0	45	24	61	90	104	172	141	36	156	189	118	118	78	75	81	80	185	139	174	74
	0	137	54	142	200	210	130	50	47	157	69	89	124	39	111	126	87	186	117	36	42
	0	57	33	45	90	99	58	128	28	18	32	50	98	237	46	57	92	11	66	65	122
	0	156	58	159	121	218	42	55	29	53	65	186	120	77	76	106	90	138	158	52	66
	0	113	168	59	85	167	112	52	57	64	34	65	270	72	120	190	138	44	140	115	161

h_pi = Inventory cost of item p at site i
 	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

C = Vehicle capacity
	3024

f = Fixed transportation cost
	21714

a_ik = Transportation cost for traveling from node i to node k
 	0	272	390	156	56	618	118	488	434	334	244	511	117	295	230	232	796	345	335	352	474
	272	0	521	196	326	699	329	537	524	489	377	502	293	346	262	266	762	76	90	374	380
	390	521	0	333	368	237	274	166	80	64	627	260	506	187	615	617	497	586	610	197	369
	156	196	333	0	190	532	148	382	349	295	376	380	252	178	315	318	662	269	283	225	321
	56	326	368	190	0	602	99	482	420	309	260	517	143	301	271	272	801	399	390	359	498
	618	699	237	532	602	0	505	165	187	300	859	247	735	357	835	838	328	752	786	326	416
	118	329	274	148	99	505	0	384	322	216	355	422	233	208	347	349	704	404	408	267	419
	488	537	166	382	482	165	384	0	86	220	732	110	605	205	693	696	335	589	624	164	264
	434	524	80	349	420	187	322	86	0	137	675	185	550	179	649	652	418	583	613	163	313
	334	489	64	295	309	300	216	220	137	0	568	303	448	179	562	564	554	558	577	207	389
	244	377	627	376	260	859	355	732	675	568	0	750	128	536	131	128	1034	425	386	591	691
	511	502	260	380	517	247	422	110	185	303	750	0	623	217	693	696	285	542	584	160	171
	117	293	506	252	143	735	233	605	550	448	128	623	0	409	136	136	908	355	329	464	571
	295	346	187	178	301	357	208	205	179	179	536	217	409	0	489	493	502	406	435	59	229
	230	262	615	315	271	835	347	693	649	562	131	693	136	489	0	5	972	300	258	539	609
	232	266	617	318	272	838	349	696	652	564	128	696	136	493	5	0	976	305	262	542	613
	796	762	497	662	801	328	704	335	418	554	1034	285	908	502	972	976	0	788	835	445	385
	345	76	586	269	399	752	404	589	583	558	425	542	355	406	300	305	788	0	53	427	404
	335	90	610	283	390	786	408	624	613	577	386	584	329	435	258	262	835	53	0	461	451
	352	374	197	225	359	326	267	164	163	207	591	160	464	59	539	542	445	427	461	0	183
	474	380	369	321	498	416	419	264	313	389	691	171	571	229	609	613	385	404	451	183	0

coordXY = Coordinates (x,y): line zero => x line one => y column => customers
 	444	176	470	319	495	409	465	328	402	494	498	220	459	326	369	372	97	107	131	288	106
	717	758	328	624	695	100	601	243	286	387	954	258	833	447	934	937	1	788	835	402	385

d_pit = Demand of item p at customer i in period t
 	50	86	69	12	45	44	87	43	88	71	26	87
	44	53	62	67	55	18	52	35	50	30	38	26
	73	43	18	40	61	99	94	11	82	90	73	20
	98	99	60	15	64	41	94	77	96	77	16	48
	74	61	77	16	80	74	49	23	92	41	37	84
	52	84	61	14	19	55	53	88	49	12	35	58
	30	14	71	66	38	30	84	52	40	24	32	74
	44	92	85	56	68	34	10	64	58	65	86	50
	38	84	61	68	63	96	63	53	29	99	36	93
	49	75	79	60	98	74	34	61	39	57	17	15
	21	97	74	76	37	80	60	52	87	76	39	32
	57	26	63	97	23	47	89	65	15	75	36	97
	96	60	98	95	38	27	79	11	81	18	60	98
	34	54	80	65	87	54	81	27	22	37	73	92
	75	58	50	80	12	95	75	33	17	65	83	11
	96	46	88	25	95	74	63	12	18	95	17	14
	66	64	74	42	20	72	62	82	20	76	74	65
	17	23	26	41	84	96	22	13	35	64	37	29
	75	20	31	13	85	81	90	30	43	92	87	79
	12	31	45	75	50	97	33	47	79	37	62	78

	70	63	34	83	56	67	84	45	32	86	19	42
	61	88	25	89	34	12	65	70	78	47	33	56
	71	52	94	20	71	87	93	27	76	43	65	43
	18	45	20	37	13	15	93	66	32	24	41	25
	64	91	80	88	21	55	99	38	63	70	51	84
	88	44	86	41	67	37	21	96	94	72	18	13
	75	13	88	91	76	11	51	14	38	73	66	38
	80	23	14	34	21	48	37	76	65	44	44	91
	61	11	99	24	99	51	62	60	94	13	11	37
	27	66	60	99	75	98	32	90	45	23	80	56
	92	45	86	37	39	45	12	86	76	59	62	48
	95	20	18	30	56	35	21	73	64	73	44	92
	59	99	17	57	95	52	90	46	18	75	75	61
	81	39	98	13	91	36	67	77	38	32	94	77
	91	44	65	78	68	54	33	37	18	39	79	54
	57	58	26	100	41	16	53	88	64	14	78	95
	35	34	73	63	70	53	65	31	89	80	88	24
	79	96	36	68	77	84	29	11	18	75	52	82
	32	70	48	68	90	32	88	78	69	67	86	20
	24	69	44	59	46	66	70	24	58	34	74	21

	80	66	88	13	70	27	90	73	75	85	81	68
	35	53	98	67	76	46	62	65	38	32	16	96
	87	85	12	41	24	53	67	55	32	65	41	44
	80	87	38	35	95	68	17	36	15	62	16	33
	81	51	15	29	11	97	34	94	52	43	21	67
	46	60	86	40	38	100	29	98	11	75	16	28
	42	86	77	37	74	24	18	65	51	81	56	85
	82	73	61	37	93	82	64	56	64	57	19	41
	71	27	14	58	99	44	96	12	93	15	11	63
	58	57	69	18	94	11	96	45	47	71	34	62
	45	25	17	64	14	98	48	19	40	93	79	35
	52	79	49	22	77	28	12	46	72	77	21	72
	35	18	21	30	53	86	21	63	65	96	88	45
	57	81	83	97	61	68	30	18	77	32	20	99
	86	29	35	75	39	99	89	69	15	41	69	84
	67	56	57	36	44	54	98	32	27	14	25	31
	27	20	97	82	39	84	53	65	29	91	24	89
	17	18	87	27	27	73	59	79	74	37	80	94
	28	48	49	72	66	40	48	61	12	36	42	80
	81	77	86	36	18	31	92	50	83	51	41	61

	18	27	86	91	37	32	79	43	30	63	74	90
	24	20	97	67	69	50	86	77	93	29	64	65
	61	71	72	45	56	16	10	43	100	69	62	85
	59	31	78	72	46	14	57	49	53	54	37	16
	45	59	63	87	27	50	71	66	39	97	10	49
	56	91	25	16	66	85	96	65	18	68	57	17
	94	47	83	43	52	29	98	68	59	87	31	12
	36	96	34	45	78	97	38	77	99	54	44	83
	100	56	83	70	48	32	71	88	94	42	11	48
	33	82	74	67	89	86	97	54	18	16	81	70
	27	91	92	77	66	76	22	49	61	17	36	10
	41	43	34	98	44	56	61	57	61	15	85	58
	45	33	88	69	81	73	23	91	56	79	17	38
	62	13	100	84	63	34	82	73	80	35	67	53
	33	48	70	62	39	85	94	96	33	59	53	26
	34	46	24	53	94	12	46	24	76	67	84	44
	77	21	29	58	77	87	56	47	11	96	33	55
	50	89	78	85	20	48	64	32	81	66	37	26
	13	60	53	48	17	24	39	89	98	36	33	11
	74	56	45	98	27	80	35	49	95	26	48	80

	54	83	40	26	86	31	74	94	19	82	78	66
	54	56	83	51	66	52	36	56	99	37	16	85
	48	30	30	34	34	41	77	82	66	92	54	35
	41	40	40	79	66	31	71	78	67	96	39	98
	81	27	24	78	68	39	59	74	60	40	83	50
	89	41	99	28	45	62	13	89	96	30	53	17
	25	13	12	72	29	48	82	54	94	83	49	54
	47	50	20	35	18	22	15	92	18	53	74	79
	60	97	11	68	82	79	55	18	42	99	65	82
	47	22	73	18	78	77	90	54	11	21	70	31
	89	33	57	51	21	63	96	25	35	45	60	29
	40	84	81	64	29	77	18	88	64	48	79	94
	39	99	19	71	70	64	44	74	10	74	81	23
	52	59	67	64	86	50	29	96	53	19	96	93
