0	739	1417	3870	2166	2266	1425	2263	2358	1861	2087	2691	2430	3936	3601	367	1937	4850	2515	512	2963	4316	3467	2878	2251	3716	3305	799	5217	307	2878	3124	1737	2878	627	669	1278	1946	3399	1302	3049	330	2601	2870	3987	3334	464	1658	2906	2182	594	1743	6002	2845	1600	2437	2713	2635
739	0	1517	1196	2072	234	137	2470	335	435	2906	532	194	508	1733	1710	2026	856	3538	98	2740	394	2959	1557	1060	359	1811	1407	3027	3860	2535	599	1214	926	975	2855	1950	990	490	1484	3104	1127	2142	846	1193	2185	1424	2875	1135	772	287	2889	693	4645	1096	666	2636	314
1417	1517	0	1557	2699	1882	546	451	2699	235	337	3135	334	279	407	1740	1395	2066	771	3436	276	2780	287	2902	1248	439	158	1505	1102	3067	3803	2575	287	909	835	670	2895	1990	1030	721	578	3333	846	2182	5410	1451	1776	1119	2915	1050	760	217	2991	922	4588	791	706	2730
3870	1196	1557	0	2390	3116	4208	2364	2464	947	3026	2936	806	3006	2522	3008	4274	3939	2107	3236	4925	2543	2083	2763	4391	3843	3093	2934	4092	3643	2108	5298	2109	2884	3500	3503	3336	2170	2368	2922	2013	3392	1571	3512	1991	3207	2941	4363	3710	1958	3937	2973	2844	2040	2120	6083	3457	2824
2166	2072	2699	2390	0	851	524	2130	557	494	2493	668	586	2929	563	750	658	2196	1861	1354	434	3594	523	2068	991	3060	1710	1106	660	1959	1565	2355	3961	1863	996	1367	260	1126	2183	1116	324	908	1511	2535	1297	1260	1003	1609	2230	1577	2089	694	1442	584	2223	716	4746	1247
2266	234	1882	3116	851	0	2098	1582	1232	1191	1096	3430	754	652	3866	761	921	722	1090	940	2620	1063	3974	919	3316	841	3440	598	364	730	855	489	3603	4341	3110	640	189	1165	124	3431	2336	1671	1452	888	3786	138	2736	250	1989	1126	347	3451	1342	1298	708	3545	1653	5126
1425	137	546	4208	524	2098	0	5404	5271	5830	4199	4299	6044	4771	4759	6480	4922	4353	4902	5891	5561	5784	5167	2230	4447	6472	4276	1686	5511	4747	4628	5756	5265	6776	785	6265	4494	5221	4993	5000	6675	5724	5071	4074	4720	6678	5181	5676	4876	3142	6089	5423	6417	5951	3830	4826	6553	4267
2263	2470	451	2364	2130	1582	5404	0	1199	1238	2400	436	537	1789	960	1015	2225	1083	718	1087	2466	2131	1529	1145	3125	715	2217	955	2551	2039	1289	1000	2288	1839	2521	3482	2010	1112	1716	965	1538	2420	1461	1030	209	1588	2423	1651	1422	1352	1133	2559	1906	2162	1282	1175	923	2296
2358	335	2699	2464	557	1232	5271	1199	0	1447	1972	4504	2655	2717	1103	2891	2913	1544	2831	2973	2985	4362	4017	925	2492	4875	2746	184	3214	4835	3870	3277	2883	4128	3724	228	5766	343	3219	3531	2449	3402	130	1377	1934	2493	3734	681	3462	924	3163	3417	4399	3741	147	2366	3459	2869
1861	435	235	947	494	1191	5830	1238	1447	0	1435	948	1584	508	411	2700	80	98	3136	169	383	170	1650	1312	1944	502	3674	227	2658	560	3140	1165	572	75	1423	1019	2945	4041	2453	455	826	844	587	2773	1702	908	827	1096	3125	757	1844	458	1694	1694	1036	2793	781	1004
2087	2906	337	3026	2493	1096	4199	2400	1972	1435	0	2286	1972	2009	964	1063	2952	950	1009	3388	1101	696	1081	2070	1740	2692	1433	2688	894	3380	455	2149	1686	926	941	1935	1444	3684	3045	3173	673	1398	1488	1177	3583	2624	2553	974	887	3586	1353	2585	1041	693	2266	1609	3322	2128
2691	532	3135	2936	668	3430	4299	436	4504	948	2286	0	1210	248	2243	1248	1188	2413	802	700	2844	618	1148	772	2309	1971	1441	279	4799	1019	2130	1290	4265	1824	1231	871	2082	1678	2417	5166	1925	1225	1485	257	1246	2245	1002	456	1608	1755	2636	1416	1557	1117	2819	2353	1695	2265
2430	194	334	806	586	754	6044	537	2655	1584	1972	1210	0	1337	1834	4155	2623	2563	1011	2697	2595	1451	2606	3043	2667	4221	3883	815	2267	5274	2914	135	3185	4701	3736	3134	2766	4004	3590	366	5632	211	3120	3397	2339	3158	200	1267	1876	2359	3600	817	3328	931	3029	3283	4265	3607
3936	508	279	3006	2929	652	4771	1789	2717	508	2009	248	1337	0	2901	1939	771	1421	1424	3683	967	982	4119	1079	1249	1059	629	479	3047	1420	4291	1301	3744	1169	3752	137	692	1153	394	176	4020	4648	3547	968	224	1480	652	3848	2693	1901	1705	1216	4116	474	2845	578	2300	665
3601	1733	407	2522	563	3866	4759	960	1103	411	964	2243	1834	2901	0	3554	2592	760	2179	2082	4036	1747	1645	4772	1742	2093	1717	607	562	3590	2073	4947	1905	4306	1827	4408	528	1350	1716	262	818	4591	5304	4099	1564	887	2151	1177	4589	3346	2654	2358	1471	4774	992	3706	1236	2957
367	1710	1740	3008	750	761	6480	1015	2891	2700	1063	1248	4155	1939	3554	0	2278	2139	2698	1062	1162	2910	1639	1622	3346	1790	1216	1770	2759	2429	2650	2035	1990	1310	3338	1144	1456	2379	1615	1491	2624	2133	3642	2357	3131	1362	2089	1861	1868	3304	2582	1939	932	1578	3544	2044	2543	1734
1937	2026	1395	4274	658	921	4922	2225	2913	80	2952	1188	2623	771	2592	2278	0	1860	1347	1126	950	846	3129	388	408	3565	511	671	392	1192	854	2379	846	3724	669	3072	591	3190	711	114	480	965	561	3359	4091	2866	390	368	915	129	3187	2094	1328	1202	638	3542	300	2267
4850	856	2066	3939	2196	722	4353	1083	1544	98	950	2413	2563	1421	760	2139	1860	0	636	1340	3604	2031	1968	1284	2074	2068	1715	1984	2349	2388	3670	3335	114	1834	4756	1997	953	2465	4182	3184	2580	2134	3433	3039	1240	5113	770	2470	2841	1638	2600	1068	564	1175	1619	2905	1273	2566
2515	3538	771	2107	1861	1090	4902	718	2831	3136	1009	802	1011	1424	2179	2698	1347	636	0	2159	1646	1096	1249	1145	3428	687	707	3864	810	978	691	960	806	2678	1140	4029	968	3371	856	3495	476	374	1079	730	531	3658	4396	3165	652	254	1214	178	3486	2393	1627	1507	945	3841
512	98	3436	3236	1354	940	5891	1087	2973	169	3388	700	2697	3683	2082	1062	1126	1340	2159	0	1681	2395	4673	2846	2948	634	3209	3122	1070	3032	3129	3199	4739	4401	1385	2804	5536	3064	800	3366	4962	4249	3635	3201	4503	4108	537	5893	1052	3487	3906	2676	3665	693	1647	2217	2620	3998
2963	2740	276	4925	434	2620	5561	2466	2985	383	1101	2844	2595	967	4036	1162	950	3604	1646	1681	0	2951	1989	1185	1174	1076	3365	976	1046	3801	1143	742	1118	1438	1288	2871	1470	3558	892	3585	607	3024	943	524	842	1200	938	3872	3925	3380	520	788	1771	767	3846	2627	1835	1383
4316	394	2780	2543	3594	1063	5784	2131	4362	170	696	618	1451	982	1747	2910	846	2031	1096	2395	2951	0	1350	1438	2199	359	459	1986	880	919	2422	983	517	991	2265	1930	1726	1348	2922	607	2414	754	2388	1838	1109	774	2087	1634	2718	3289	2211	875	1495	1174	1332	2617	1612	1238
3467	2959	287	2083	523	3974	5167	1529	4017	1650	1081	1148	2606	4119	1645	1639	3129	1968	1249	4673	1989	1350	0	1394	432	2454	881	818	1994	992	1021	2425	887	1074	1093	2510	2182	1061	600	3919	847	1750	1315	3385	2040	1542	984	2293	1889	2037	4286	1545	1546	2243	554	1450	1865	801
2878	1557	2902	2763	2068	919	2230	1145	925	1312	2070	772	3043	1079	4772	1622	388	1284	1145	2846	1185	1438	1394	0	259	754	3082	1811	1748	1422	1642	1542	1869	1612	2020	1610	3143	2805	452	1275	4572	1849	1141	2123	4038	2806	2057	1841	2686	2517	1428	4929	936	2058	2324	1252	2083	1256
2251	1060	1248	4391	991	3316	4447	3125	2492	1944	1740	2309	2667	1249	1742	3346	408	2074	3428	2948	1174	2199	432	259	0	1326	2004	4319	2746	2683	1233	2857	2764	1669	2644	2939	2836	4385	4050	954	2524	5533	2712	125	3180	4959	3899	3295	2849	4148	3754	190	5890	372	3185	3551	2324	3310
3716	359	439	3843	3060	841	6472	715	4875	502	2692	1971	4221	1059	2093	1790	3565	2068	687	634	1076	359	2454	754	1326	0	1189	1329	1274	1078	975	3315	517	536	3751	640	800	528	1138	984	2486	969	3848	798	3200	720	3314	639	243	609	908	709	3487	4215	2995	519	432	1044
3305	1811	158	3093	1710	3440	4276	2217	2746	3674	1433	1441	3883	629	1717	1216	511	1715	707	3209	3365	459	881	3082	2004	1189	0	1460	498	2033	817	754	2742	600	498	3178	523	946	570	2094	1756	1524	184	3841	783	2209	1088	3307	1627	1022	669	1637	1468	2496	4208	2004	1023	1275
799	1407	1505	2934	1106	598	1686	955	184	227	2688	279	815	479	607	1770	671	1984	3864	3122	976	1986	818	1811	4319	1329	1460	0	2532	1570	1494	1311	1214	3493	756	777	3929	879	1039	702	851	701	2727	1210	4069	1037	3441	959	3535	359	482	848	606	283	4225	4436	3236	758
5217	3027	1102	4092	660	364	5511	2551	3214	2658	894	4799	2267	3047	562	2759	392	2349	810	1070	1046	880	1994	1748	2746	1274	498	2532	0	2266	1304	1635	728	631	2889	523	525	3325	623	367	577	837	708	2356	949	3342	447	3070	366	2808	1036	274	354	1293	478	3036	3709	2865
307	3860	3067	3643	1959	730	4747	2039	4835	560	3380	1019	5274	1420	3590	2429	1192	2388	978	3032	3801	919	992	1422	2683	1078	2033	1570	2266	0	1006	1684	3999	2305	2406	1172	2537	2444	1608	2354	2619	2527	4065	3730	656	2204	5123	2392	257	2860	4549	3579	2975	2529	3828	3434	549	5480
2878	2535	3803	2108	1565	855	4628	1289	3870	3140	455	2130	2914	4291	2073	2650	854	3670	691	3129	1143	2422	1021	1642	1233	975	817	1494	1304	1006	0	4619	4708	5045	3414	3514	5259	3986	3969	5695	4137	3568	4117	5106	4776	4999	4615	1445	3662	5687	3491	901	4791	3962	3843	4971	4480	5991
3124	599	2575	5298	2355	489	5756	1000	3277	1165	2149	1290	135	1301	4947	2035	2379	3335	960	3199	742	983	2425	1542	2857	3315	754	1311	1635	1684	4619	0	1498	2176	4491	2918	2855	1171	3162	2936	1607	2846	3114	3008	4557	4222	1126	2696	5634	2884	297	3352	5060	4171	3467	3021	4320	3926
1737	1214	287	2109	3961	3603	5265	2288	2883	572	1686	4265	3185	3744	1905	1990	846	114	806	4739	1118	517	887	1869	2764	517	2742	1214	728	3999	4708	1498	0	2725	1763	413	1511	1407	3616	949	970	4052	1072	1232	802	435	213	2925	1402	4113	1230	3639	1152	3579	290	675	1041	547
2878	926	909	2884	1863	4341	6776	1839	4128	75	926	1824	4701	1169	4306	1310	3724	1834	2678	4401	1438	991	1074	1612	1669	536	600	3493	631	2305	5045	2176	2725	0	2899	1932	300	1931	1839	4065	1352	1139	4501	1475	1849	1356	229	354	3319	1802	4604	1638	4041	1493	4002	257	1016	1444
627	975	835	3500	996	3110	785	2521	3724	1423	941	1231	3736	3752	1827	3338	669	4756	1140	1385	1288	2265	1093	2020	2644	3751	498	756	2889	2406	3414	4491	1763	2899	0	2049	1087	1606	419	315	2777	107	171	3213	268	287	243	1672	1335	2020	567	3476	148	2734	329	2942	1187	594
669	2855	670	3503	1367	640	6265	3482	228	1019	1935	871	3134	137	4408	1144	3072	1997	4029	2804	2871	1930	2510	1610	2939	640	3178	777	523	1172	3514	2918	413	1932	2049	0	1974	1303	1240	1064	960	3066	502	524	3502	625	705	506	1306	968	2466	971	3595	635	3180	705	3061	759
